action,direction,entry_time,entry_price,quantity,capital,stop_price,atr,signal_type,close_time,close_price,pnl,close_reason
open,short,1748842200000,104630.9,0.000668162415419275,13.982086974298523,105248.21428571428,205.7714285714267,死叉,,,,
close,short,1748842200000,104630.9,0.000668162415419275,13.499504102109244,,,,1748847600000.0,105248.21428571428,-0.482582872189279,止损
open,short,1748858400000,104585.5,0.0006453812479793683,13.499504102109244,105425.15714285715,279.8857142857149,死叉,,,,
close,short,1748858400000,104585.5,0.0006453812479793683,12.889836657379394,,,,1748902500000.0,105425.15714285715,-0.609667444729849,止损
open,short,1748939400000,104892.0,0.0006144337345736278,12.889836657379394,105321.83571428571,143.2785714285731,死叉,,,,
close,short,1748939400000,104892.0,0.0006144337345736278,12.561149858129212,,,,1748952000000.0,105321.83571428571,-0.32868679925018135,止损
open,short,1748994300000,105330.1,0.0005962754169097539,12.561149858129212,106072.57857142857,247.49285714285674,死叉,,,,
close,short,1748994300000,105330.1,0.0005962754169097539,13.827173350593538,,,,1749142800000.0,103102.6642857143,1.2660234924643254,固定止盈
open,long,1749384900000,105585.8,0.0006547837564612637,13.827173350593538,105030.2,185.2000000000023,金叉,,,,
close,long,1749384900000,105585.8,0.0006547837564612637,14.848885352327581,,,,1749463200000.0,107252.60000000002,1.0217120017340433,固定止盈
open,long,1749554100000,109696.0,0.0006768198180575218,14.848885352327581,109105.42857142857,196.85714285714494,二次金叉,,,,
close,long,1749554100000,109696.0,0.0006768198180575218,14.375130333953672,,,,1749562200000.0,109105.42857142857,-0.4737550183739093,止损
open,long,1749583800000,109941.8,0.0006537609141361009,14.375130333953672,108944.92142857143,332.2928571428565,金叉,,,,
close,long,1749583800000,109941.8,0.0006537609141361009,13.651860296267138,,,,1749663900000.0,108944.92142857143,-0.7232700376865351,止损
open,short,1749741300000,107151.3,0.000637036615340511,13.651860296267138,108140.20714285715,329.63571428571385,二次死叉,,,,
close,short,1749741300000,107151.3,0.000637036615340511,12.953315950584443,,,,1749748500000.0,108140.20714285715,-0.6985443456826942,止损
open,short,1749757500000,106749.6,0.0006067149642989033,12.953315950584443,107818.88571428572,356.42857142857144,二次死叉,,,,
close,short,1749757500000,106749.6,0.0006067149642989033,14.835777430202027,,,,1749773700000.0,103541.74285714286,1.8824614796175847,固定止盈
open,short,1749824100000,104110.3,0.0007125028662006557,14.835777430202027,105095.86428571428,328.52142857142877,二次死叉,,,,
close,short,1749824100000,104110.3,0.0007125028662006557,14.059030055965392,,,,1749826800000.0,105095.86428571428,-0.7767473742366356,止损
open,short,1749880800000,105185.1,0.0006682995051564049,14.059030055965392,105546.94285714286,120.61428571428509,死叉,,,,
close,short,1749880800000,105185.1,0.0006682995051564049,13.746794593611432,,,,1749948300000.0,105546.94285714286,-0.3122354623539612,止损
open,short,1749979800000,104926.7,0.0006550665652122592,13.746794593611432,105467.83571428571,180.37857142857163,死叉,,,,
close,short,1749979800000,104926.7,0.0006550665652122592,13.323403467015712,,,,1749992400000.0,105467.83571428571,-0.423391126595719,止损
