action,direction,entry_time,entry_price,quantity,capital,stop_price,atr,close_time,close_price,pnl,close_reason
close,long,1746391500000,95676.9,0.003636869567128658,68.79749780311134,,,1746396000000.0,95458.2,-0.7953833743310269,止损
open,long,1746468900000,94549.9,0.0036381581473439607,68.79749780311134,94072.58571428571,238.6571428571437,,,,
close,long,1746468900000,94549.9,0.0036381581473439607,67.06095294569627,,,1746477000000.0,94072.58571428571,-1.736544857415075,止损
open,long,1746546300000,94513.2,0.00354770301638799,67.06095294569627,93865.52857142857,323.83571428571304,,,,
close,long,1746546300000,94513.2,0.00354770301638799,73.31981060720796,,,1746639900000.0,96277.4,6.258857661511682,信号平仓
open,long,1746654300000,97084.9,0.0037760666492527655,73.31981060720796,96285.9,399.4999999999979,,,,
close,long,1746654300000,97084.9,0.0037760666492527655,94.5779330225063,,,1746807300000.0,102714.6,21.258122415298338,信号平仓
open,long,1746845100000,103104.2,0.004586521840162976,94.5779330225063,102826.74285714286,138.72857142857123,,,,
close,long,1746845100000,103104.2,0.004586521840162976,94.57059458756208,,,1746891900000.0,103102.6,-0.007338434944220716,信号平仓
open,long,1746916200000,103611.8,0.0045636980820506,94.57059458756208,103260.84285714287,175.47857142857018,,,,
close,long,1746916200000,103611.8,0.0045636980820506,93.4383410934053,,,1746948600000.0,103363.7,-1.1322534941567806,信号平仓
open,long,1747010700000,104541.5,0.0044689592694482725,93.4383410934053,103891.1,325.2000000000002,,,,
close,long,1747010700000,104541.5,0.0044689592694482725,90.53172998455616,,,1747013400000.0,103891.1,-2.9066111088491304,止损
open,long,1747033200000,105570.6,0.004287733989602985,90.53172998455616,104943.38571428572,313.6071428571418,,,,
close,long,1747033200000,105570.6,0.004287733989602985,87.84240197293445,,,1747035000000.0,104943.38571428572,-2.6893280116217184,止损
open,long,1747120500000,102750.0,0.004274569439072237,87.84240197293445,102233.48571428572,258.25714285714224,,,,
close,long,1747120500000,102750.0,0.004274569439072237,91.78526482353466,,,1747188000000.0,103672.4,3.942862850600206,信号平仓
open,long,1747223100000,103903.4,0.004416855695941358,91.78526482353466,103379.51428571428,261.942857142859,,,,
close,long,1747223100000,103903.4,0.004416855695941358,89.47133722236948,,,1747231200000.0,103379.51428571428,-2.3139276011651715,止损
open,long,1747267200000,103652.3,0.004315935933036193,89.47133722236948,103368.15714285715,142.0714285714296,,,,
close,long,1747267200000,103652.3,0.004315935933036193,88.24499485511107,,,1747272600000.0,103368.15714285715,-1.226342367258418,止损
open,long,1747323900000,103211.2,0.004274971846810766,88.24499485511107,102249.12857142858,481.03571428571325,,,,
close,long,1747323900000,103211.2,0.004274971846810766,88.8725607222229,,,1747385100000.0,103358.0,0.6275658671118329,信号平仓
open,long,1747409400000,103965.9,0.004274120683908036,88.8725607222229,103288.32857142856,338.7857142857164,,,,
close,long,1747409400000,103965.9,0.004274120683908036,87.83907834085399,,,1747429200000.0,103724.1,-1.0334823813689133,信号平仓
open,long,1747512900000,103123.0,0.004258947002165084,87.83907834085399,102791.8,165.5999999999996,,,,
close,long,1747512900000,103123.0,0.004258947002165084,91.99453293086644,,,1747600200000.0,104098.7,4.15545459001246,信号平仓
open,long,1747666800000,104520.1,0.004400805822557883,91.99453293086644,103757.95714285715,381.07142857142856,,,,
