open_time,open,high,low,close,volume,close_time
1748980800000,664.92,665.0,656.66,661.33,66631.0,1748995199999
1748995200000,661.33,669.99,660.64,668.41,77528.54,1749009599999
1749009600000,668.4,670.99,668.1,670.8,62039.9,1749023999999
1749024000000,670.81,671.83,667.5,667.86,52870.8,1749038399999
1749038400000,667.86,670.5,665.13,669.42,79334.38,1749052799999
1749052800000,669.43,670.0,666.13,667.36,50955.78,1749067199999
1749067200000,667.35,667.47,661.52,662.93,73279.08,1749081599999
1749081600000,662.93,666.43,662.64,665.59,40195.09,1749095999999
1749096000000,665.59,668.5,664.96,668.37,57022.43,1749110399999
1749110400000,668.37,670.74,661.94,662.1,118753.15,1749124799999
1749124800000,662.11,665.5,656.42,659.04,163991.28,1749139199999
1749139200000,659.04,659.04,640.5,644.04,194452.87,1749153599999
1749153600000,644.04,644.04,622.05,632.9,305869.54,1749167999999
1749168000000,632.9,641.27,628.56,640.88,101666.38,1749182399999
1749182400000,640.87,642.0,634.6,640.97,84374.92,1749196799999
1749196800000,640.97,646.66,640.36,646.09,88551.38,1749211199999
1749211200000,646.09,651.12,645.51,647.49,123186.2,1749225599999
1749225600000,647.46,648.49,643.76,644.95,52588.06,1749239999999
1749240000000,644.96,646.56,640.79,642.25,68270.71,1749254399999
1749254400000,642.26,646.98,639.13,646.78,69971.24,1749268799999
1749268800000,646.78,649.58,645.15,648.34,38566.05,1749283199999
1749283200000,648.34,648.87,646.01,648.05,34131.51,1749297599999
1749297600000,648.04,650.97,647.87,650.4,49596.46,1749311999999
1749312000000,650.39,652.53,649.12,651.73,57972.39,1749326399999
1749326400000,651.73,653.54,650.08,650.41,37948.88,1749340799999
1749340800000,650.41,650.48,648.19,648.98,36823.35,1749355199999
1749355200000,648.98,650.34,648.5,648.99,28765.61,1749369599999
1749369600000,649.0,650.13,646.21,650.11,40908.72,1749383999999
1749384000000,650.11,651.87,649.15,651.58,41896.46,1749398399999
1749398400000,651.59,654.74,651.58,654.33,46576.32,1749412799999
1749412800000,654.34,656.19,651.21,651.64,47078.59,1749427199999
1749427200000,651.65,653.19,648.03,651.25,48370.12,1749441599999
1749441600000,651.24,651.24,647.52,648.96,38730.24,1749455999999
1749456000000,648.97,656.14,647.85,655.23,70154.92,1749470399999
1749470400000,655.23,656.74,652.39,656.16,64947.44,1749484799999
1749484800000,656.17,660.76,656.17,659.49,71184.26,1749499199999
1749499200000,659.5,667.76,659.5,665.61,107758.1,1749513599999
1749513600000,665.61,668.01,663.42,664.02,63582.71,1749527999999
1749528000000,664.03,664.37,659.82,660.61,58005.79,1749542399999
1749542400000,660.61,665.46,656.77,664.92,126980.4,1749556799999
1749556800000,664.91,667.45,657.88,660.96,126473.93,1749571199999
1749571200000,660.97,669.09,660.81,667.34,72064.6,1749585599999
1749585600000,667.34,674.59,667.25,673.66,149795.93,1749599999999
1749600000000,673.67,674.43,667.95,670.72,83372.05,1749614399999
1749614400000,670.73,672.38,668.57,670.08,63457.72,1749628799999
1749628800000,670.07,672.36,666.02,667.39,93535.8,1749643199999
1749643200000,667.39,672.36,665.71,669.59,103509.34,1749657599999
1749657600000,669.59,669.79,665.17,667.16,68332.42,1749671999999
1749672000000,667.16,669.15,662.06,667.58,67293.88,1749686399999
1749686400000,667.59,670.24,664.13,665.88,65203.33,1749700799999
1749700800000,665.89,668.72,664.15,667.29,47951.67,1749715199999
1749715200000,667.29,669.17,663.4,663.54,67035.08,1749729599999
1749729600000,663.54,665.13,659.53,659.81,97197.37,1749743999999
1749744000000,659.81,666.8,657.3,658.0,98006.29,1749758399999
1749758400000,658.0,658.97,651.42,654.41,97035.08,1749772799999
1749772800000,654.41,654.44,637.55,649.04,254783.25,1749787199999
1749787200000,649.05,654.9,645.61,654.83,81374.7,1749801599999
1749801600000,654.83,659.7,652.16,654.6,145055.38,1749815999999
1749816000000,654.6,654.83,649.18,653.47,89159.53,1749830399999
1749830400000,653.48,655.34,649.3,650.96,52821.46,1749844799999
1749844800000,650.96,655.04,650.04,655.04,33673.52,1749859199999
1749859200000,655.03,655.05,650.0,650.87,40034.67,1749873599999
1749873600000,650.87,652.17,649.69,651.43,31602.16,1749887999999
1749888000000,651.42,651.43,648.69,650.16,40928.11,1749902399999
1749902400000,650.17,650.32,643.88,644.94,55145.16,1749916799999
1749916800000,644.94,645.72,638.52,640.28,90356.19,1749931199999
1749931200000,640.27,645.99,638.37,645.23,36927.82,1749945599999
1749945600000,645.23,647.66,644.56,647.24,29604.06,1749959999999
1749960000000,647.24,651.76,647.23,648.82,58176.78,1749974399999
1749974400000,648.82,649.22,645.66,648.08,40424.05,1749988799999
1749988800000,648.07,650.94,646.63,647.51,47663.5,1750003199999
1750003200000,647.51,648.85,645.37,646.44,28550.38,1750017599999
1750017600000,646.44,648.29,642.36,647.92,43064.04,1750031999999
1750032000000,647.93,652.54,646.0,651.49,56206.68,1750046399999
1750046400000,651.49,656.92,651.05,655.96,60360.5,1750060799999
1750060800000,655.96,656.77,653.12,654.6,45757.45,1750075199999
1750075200000,654.61,659.62,653.76,657.58,65444.23,1750089599999
1750089600000,657.57,659.25,655.73,659.24,42977.13,1750103999999
1750104000000,659.24,659.25,650.06,650.74,74006.08,1750118399999
1750118400000,650.74,656.74,647.02,656.58,82385.73,1750132799999
1750132800000,656.58,659.25,655.15,657.88,72086.33,1750147199999
1750147200000,657.88,658.75,652.56,653.68,148526.95,1750161599999
